col-span-full,chapter-item href,rounded src,text-sm,me-1
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714065&permalink=12-installing-local-ai-chatbot-6f1f03,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F12-installing-local-ai-chatbot.1716239541.jpg,1.2 Installing Local AI Chatbot,12:58,
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714066&permalink=121-new-ui-updates-may-2024-f87166,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F121-new-ui-updates-may-2024.1716305016.jpg,1.2.1 New UI Updates May 2024,00:50,
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714067&permalink=122-new-way-to-add-llms-may-2024-797a09,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F122-new-way-to-add-llms-may-2024.1716305587.jpg,1.2.2 New Way To Add AI Models - May 2024,02:12,
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714068&permalink=13-open-webui-walk-through-90811d,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F13-open-webui-walk-through.1716240260.jpg,1.3 OpenWebUI Walk-Through,03:49,
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714069&permalink=14-system-prompts-and-modifiers-93c59f,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F14-system-prompts-and-modifiers.1716242002.jpg,1.4 System Prompts And modelfiles,06:53,
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714070&permalink=15-prompt-library-and-shortcuts-a2139f,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F15-prompt-library-and-shortcuts.1716242280.jpg,1.5 Prompt Library And Shortcuts,04:11,
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714071&permalink=16-creating-a-knowledge-base-c046de,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F16-creating-a-knowledge-base.1716242624.jpg,1.6 Creating A Knowledge Base,03:18,
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714072&permalink=17-connect-to-chatgpt-and-gpt-4-b09be8,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F17-connect-to-chatgpt-and-gpt-4.1716243002.jpg,1.7 Connect To ChatGPT And GPT-4,05:14,
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714073&permalink=18-connect-to-dalle-924efd,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F18-connect-to-dalle.1716243331.jpg,1.8 Connect To DALL-E - Image Generation,02:53,
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714074&permalink=19-updating-the-app-e920b8,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F19-updating-the-app.1716243589.jpg,1.9 Updating The App,03:13,
https://skillleap.ai/programs/private-ai-chatbot-on-your-computer-lefsssz1wns?cid=3714075&permalink=110-custom-solutions-b81d10,https://alpha.uscreencdn.com/270xnull/assets%2Ftmp%2F110-custom-solutions.1716243872.jpg,1.10 Custom Solutions,01:58,
content-item href,rounded src,badge-item,content-item-title,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425453&permalink=11-intro-to-chat-gpt-mastery-ea0975,https://alpha.uscreencdn.com/images/programs/2609627/horizontal/11-chatgpt-mastery-introduction.1696016111.jpg,03:16,1.1 Introduction To ChatGPT Mastery Course,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425454&permalink=12-course-resources-9928f4,https://alpha.uscreencdn.com/images/programs/2609777/horizontal/12-course-resources.1696016178.jpg,01:41,1.2 Course Resources and Prompting Guides,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425458&permalink=13-advanced-prompt-for-writting-effective-blogs-5cbbbc,https://alpha.uscreencdn.com/images/programs/2609779/horizontal/13-writing-blogs-advanced-prompts.1696016269.jpg,05:53,1.3 Advanced Prompt For Writing Effective Blogs,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425463&permalink=14-content-remix-repurposing-blogs-for-multiple-platforms-51ee9c,https://alpha.uscreencdn.com/images/programs/2609816/horizontal/14-content-remix-prompts.1696016339.jpg,03:16,1.4 Content Remix - Repurposing Blogs For Multiple Platforms,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425465&permalink=15-business-plan-prompts-657469,https://alpha.uscreencdn.com/images/programs/2609818/horizontal/15-business-plan-prompts.1696016397.jpg,04:38,1.5 Complete Business Plan in 10 minutes (Prompt included),
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425467&permalink=16-improve-your-website-copy-97d8c6,https://alpha.uscreencdn.com/images/programs/2609821/horizontal/16-improve-your-website-copy-with-these-prompts.1696016486.jpg,04:44,1.6 Improve Your Website Copy with these Prompts,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425469&permalink=17-chat-gpt-as-your-marketing-partner-91178c,https://alpha.uscreencdn.com/images/programs/2609858/horizontal/17-chatgpt-as-your-marketing-partner.1696016553.jpg,07:04,1.7 ChatGPT As Your Marketing Partner (Prompts for Marketing and Advertising),
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425471&permalink=18-advanced-cold-email-prompts-a25d98,https://alpha.uscreencdn.com/images/programs/2609857/horizontal/18-advanced-cold-email-prompts.1696016609.jpg,05:23,1.8 Advanced Cold Email Prompts,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425474&permalink=19-how-to-write-10000-words-or-more-with-chat-gpt-61cfb6,https://alpha.uscreencdn.com/images/programs/2609863/horizontal/19-how-to-write-10000-words-or-more-with-chatgpt.1696016668.jpg,06:17,"1.9 How To Write 10,000 Words Or More With ChatGPT",
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425476&permalink=110-using-chat-gpt-to-write-code-for-beginners-84cc21,https://alpha.uscreencdn.com/images/programs/2609923/horizontal/110-using-chatgpt-to-write-code-for-beginners.1696016731.jpg,10:57,1.10 Using ChatGPT To Write Code (For Beginners),
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425480&permalink=21-custom-instructions-introduction-and-setup-599e60,https://alpha.uscreencdn.com/images/programs/2629512/horizontal/21-custom-instructions.1697405250.jpg,04:12,2.1 Custom Instructions Intro And Setup,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425481&permalink=22-custom-instructions-for-writing-style-14efe7,https://alpha.uscreencdn.com/images/programs/2629510/horizontal/22-custom-instructions-for-writing.1697405271.jpg,03:29,2.2 Custom Instructions For Writing Style,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425482&permalink=23-change-response-format-f22719,https://alpha.uscreencdn.com/images/programs/2629508/horizontal/23-change-response-format.1697405290.jpg,03:08,2.3 Change Response Format,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425483&permalink=24-every-day-custom-intruction-prompts-2b07ae,https://alpha.uscreencdn.com/images/programs/2629507/horizontal/24-custom-instruction-prompts-for-daily-efficiency.1697405312.jpg,03:17,2.4 Custom Instruction Prompts for Daily Efficiency,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425488&permalink=31-introduction-to-ai-chrome-extensions-374b9f,https://alpha.uscreencdn.com/images/programs/2629736/horizontal/31-introduction-to-ai-chrome-extensionsy.1697405594.jpg,01:46,3.1 Introduction To Ai Chrome Extensions,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425489&permalink=32-web-chat-gpt-max-ai-3cb7fd,https://alpha.uscreencdn.com/images/programs/2629733/horizontal/32-webchatgpt-max-ai.1697405621.jpg,03:27,3.2 WebChatGPT & Max Ai,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425492&permalink=33-harpa-ai-81a385,https://alpha.uscreencdn.com/images/programs/2629735/horizontal/33-harpa-ai.1697405650.jpg,03:27,3.3 Harpa Ai,
https://skillleap.ai/programs/collection-chatgpt-advance-course?cid=3425493&permalink=34-chat-sonic-f3f42f,https://alpha.uscreencdn.com/images/programs/2629731/horizontal/34-chatsonic-ai-writing-co-pilot.1697405534.jpg,02:19,3.4 ChatSonic: AI writing Co-Pilot,
content-item href,rounded src,badge-item,content-item-title,
https://skillleap.ai/programs/generative-ai-for-content-creators?cid=3586159&permalink=11-introduction-to-generative-ai-for-course-creators-ca3db4,https://alpha.uscreencdn.com/images/programs/2876137/horizontal/5649ba5c-a613-4f58-89ec-5658a85df5c6.jpg,03:12,1.1 Introduction To Generative Ai For Course Creators,
https://skillleap.ai/programs/generative-ai-for-content-creators?cid=3586160&permalink=12-brainstorming-a-topic-0134b7,https://alpha.uscreencdn.com/images/programs/2876124/horizontal/dd73bd2b-cb42-43d6-bcaf-cb8d4d40efc1.jpg,03:10,1.2 Brainstorming A Topic,
https://skillleap.ai/programs/generative-ai-for-content-creators?cid=3586161&permalink=13-anchor-your-topic-with-learning-objectives-a5033f,https://alpha.uscreencdn.com/images/programs/2876132/horizontal/c9ea72ef-8d91-45f8-bfce-803ba6ad5796.jpg,07:29,1.3 Anchor Your Topic With Learning Objectives,
https://skillleap.ai/programs/generative-ai-for-content-creators?cid=3586162&permalink=14-outline-your-course-roadmap-10cb76,https://alpha.uscreencdn.com/images/programs/2876128/horizontal/454ba4b2-2913-4e89-8fb9-fa40aa845fec.jpg,04:00,1.4 Outline Your Course Roadmap,
https://skillleap.ai/programs/generative-ai-for-content-creators?cid=3586163&permalink=15-organize-your-research-9c5420,https://alpha.uscreencdn.com/images/programs/2876127/horizontal/43b565c9-83fe-4d86-8668-3436b4599abb.jpg,02:55,1.5 Organize Your Research,
